,Taxonomic ID,Organism Name,Functional Repertoire Size,HabitatPreference,TemperaturePreference,OxygenPreference
uid57885,190304,Fusobacterium nucleatum ATCC 25586,1702,"Host (Host, Oral microflora)",Mesophile,Anaerobe
uid66567,1005058,Gallibacterium anatis UMN179,2060,,,
uid51505,395494,Gallionella capsiferriformans ES 2,2307,Fresh water,Mesophile,Aerobe
uid51635,83406,gamma proteobacterium HdN1,2901,,,
uid43211,553190,Gardnerella vaginalis 409 05,1110,"Host (Host, Vagina microflora)",Mesophile,Anaerobe (Obligate anaerobe)
uid55487,525284,Gardnerella vaginalis ATCC 14019,1133,"Host (Host, Vagina microflora)",Mesophile,Anaerobe
uid58813,379066,Gemmatimonas aurantiaca T 27,3084,,Mesophile,Aerobe
uid49467,691437,Geobacillus C56 T3,2664,,Mesophile,Facultative
uid58227,235909,Geobacillus kaustophilus HTA426,2756,"Marine (Deep sea, Marine, Sediment)",Thermophile,Aerobe
uid58829,420246,Geobacillus thermodenitrificans NG80 2,2705,"Fresh water (Fresh water, Oil fields)",Thermophile,Facultative
uid48129,634956,Geobacillus thermoglucosidasius C56 YS93,2882,,Thermophile (Hyperthermophile),Facultative
uid59045,471223,Geobacillus WCH70,2469,,Thermophile,Facultative
uid55779,581103,Geobacillus Y4 1MC1,2795,,Thermophile,Facultative
uid55381,550542,Geobacillus Y412MC52,2698,"Fresh water (Fresh water, Hot spring)",Thermophile,Facultative
uid41171,544556,Geobacillus Y412MC61,2699,,Thermophile,Facultative
uid58749,404380,Geobacter bemidjiensis Bem,3044,"Soil (Sediment, Soil)",Mesophile,Anaerobe
uid58543,316067,Geobacter FRC 32,2884,"Multi (Fresh water, Sediment, Soil)",Mesophile,Anaerobe
uid58713,398767,Geobacter lovleyi SZ,2735,"Multi (Fresh water, Sediment, Soil)",Mesophile,Anaerobe
uid55771,443143,Geobacter M18,3276,Other (Sediment),Mesophile,Anaerobe
uid59037,443144,Geobacter M21,3070,"Multi (Fresh water, Sediment, Soil)",Mesophile,Anaerobe
uid57731,269799,Geobacter metallireducens GS 15,2657,Fresh water,Mesophile,Anaerobe
uid57743,243231,Geobacter sulfurreducens PCA,2664,"Soil (Sediment, Soil)",Mesophile,Anaerobe
uid58475,351605,Geobacter uraniireducens Rf4,3146,"Soil (Soil, Sediment)",Mesophile,Anaerobe
uid43725,526225,Geodermatophilus obscurus DSM 43160,3589,Soil,Mesophile,Aerobe
uid66595,983545,Glaciecola 4H 3 7 YE 5,3344,,,
uid73759,1085623,Glaciecola nitratireducens FR1064,3028,,,
uid58011,251221,Gloeobacter violaceus PCC 7421,3225,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid59075,272568,Gluconacetobacter diazotrophicus PAl 5,2607,Host,Mesophile,Aerobe
uid61587,272568,Gluconacetobacter diazotrophicus PAl 5,2804,Host,Mesophile,Aerobe
uid46523,634177,Gluconacetobacter xylinus NBRC 3288,2172,,,
uid58239,290633,Gluconobacter oxydans 621H,1994,"Other (Beer, Fruits, Plants, Wine)",Mesophile,Aerobe
uid41403,526226,Gordonia bronchialis DSM 43247,3389,Host,Mesophile,Aerobe (Obligate aerobe)
uid58881,411154,Gramella forsetii KT0803,2963,Marine,Mesophile,Aerobe
uid58661,391165,Granulibacter bethesdensis CGDNIH1,2098,"Host (Host, Lymph nodes)",Mesophile,
uid57625,233412,Haemophilus ducreyi 35000HP,1506,Host,Mesophile,Anaerobe
uid58093,281310,Haemophilus influenzae 86 028NP,1595,Host,Mesophile,Facultative
uid62123,866630,Haemophilus influenzae F3031,1545,Host,Mesophile,Facultative
uid62097,935897,Haemophilus influenzae F3047,1551,Host,Mesophile,Facultative
uid58591,374930,Haemophilus influenzae PittEE,1414,Host,Mesophile,Facultative
uid58593,374931,Haemophilus influenzae PittGG,1468,Host,Mesophile,Facultative
uid57771,71421,Haemophilus influenzae Rd KW20,1451,"Host (Host, Nasopharyngeal microflora)",Mesophile,Facultative
uid72801,862965,Haemophilus parainfluenzae T3T1,1736,Host,Mesophile,Facultative
uid59273,557723,Haemophilus parasuis SH0165,1748,"Host (Host, Swine upper respiratory tract)",Mesophile,Facultative
uid57929,205914,Haemophilus somnus 129PT,1561,Host,Mesophile,Facultative
uid57979,228400,Haemophilus somnus 2336,1685,Host,Mesophile,Facultative
uid58483,349521,Hahella chejuensis KCTC 2396,5295,Fresh water,Mesophile,Aerobe
uid60191,656519,Halanaerobium hydrogeniformans,1803,"Fresh water (Fresh water, Sediment)",Mesophile,Anaerobe (Obligate anaerobe)
uid41425,502025,Haliangium ochraceum DSM 14365,4661,"Marine (Coastal, Marine, Sand)",Mesophile,Aerobe (Obligate aerobe)
uid66777,760192,Haliscomenobacter hydrossis DSM 1100,4790,,,
uid52781,768066,Halomonas elongata DSM 2581,2702,Fresh water,Mesophile,Facultative
uid58473,349124,Halorhodospira halophila SL1,2029,"Fresh water (Fresh water, Mud)",Mesophile,Anaerobe
uid58585,373903,Halothermothrix orenii H 168,1949,Fresh water,Thermophile,Anaerobe
uid41317,555778,Halothiobacillus neapolitanus c2,2017,Other (Sewage plant),Mesophile,Aerobe
uid58685,382638,Helicobacter acinonychis Sheeba,1296,Host,Mesophile,Aerobe
uid68141,1002804,Helicobacter bizzozeronii CIII 1,1489,,,
uid61409,936155,Helicobacter felis ATCC 49179,1390,Host,Mesophile,Aerobe
uid57737,235279,Helicobacter hepaticus ATCC 51449,1676,"Host (Host, Intestinal microflora)",Mesophile,Aerobe
uid46647,679897,Helicobacter mustelae 12198,1269,Host,Mesophile,Aerobe
uid57787,85962,Helicobacter pylori 26695,1344,"Human (Host, Human stomach)",Mesophile,Aerobe
uid59415,592205,Helicobacter pylori B38,1229,"Human (Host, Human stomach)",Mesophile,Aerobe
uid49873,693745,Helicobacter pylori B8,1450,,,
uid59305,563041,Helicobacter pylori G27,1301,"Human (Host, Human stomach)",Mesophile,Aerobe
uid58517,357544,Helicobacter pylori HPAG1,1310,"Human (Host, Human stomach)",Mesophile,Aerobe
uid57789,85963,Helicobacter pylori J99,1298,"Human (Host, Human stomach)",Mesophile,Aerobe
uid59327,570508,Helicobacter pylori P12,1336,"Human (Host, Human stomach)",Mesophile,Aerobe
uid53539,765963,Helicobacter pylori PeCan4,1365,"Human (Host, Human stomach)",Mesophile,Aerobe
uid59165,512562,Helicobacter pylori Shi470,1387,"Human (Host, Human stomach)",Mesophile,Aerobe
uid53541,765962,Helicobacter pylori SJM180,1388,"Human (Human stomach, Host)",Mesophile,Aerobe
uid58279,498761,Heliobacterium modesticaldum Ice1,2385,"Multi (Fresh water, Hot spring, Soil)",Thermophile,Anaerobe
uid50427,757424,Herbaspirillum seropedicae SmR1,3264,"Multi (Host, Plant root, Root nodule, Soil)",Mesophile,Aerobe
uid58291,204773,Herminiimonas arsenicoxydans,2673,Fresh water,Mesophile,Anaerobe
uid58599,316274,Herpetosiphon aurantiacus DSM 785,3657,"Fresh water (Fresh water, Hot spring)",Mesophile,Aerobe
uid65267,760142,Hippea maritima DSM 10411,1425,,,
uid59365,582402,Hirschia baltica ATCC 49814,2625,Marine,Mesophile,Aerobe
uid45927,608538,Hydrogenobacter thermophilus TK 6,1674,Other (Hot spring),Thermophile,Aerobe
uid58857,380749,Hydrogenobaculum Y04AAS1,1439,Fresh water,Thermophile,Aerobe
uid50325,582899,Hyphomicrobium denitrificans ATCC 51888,2908,Fresh water,Mesophile,Aerobe
uid68453,717785,Hyphomicrobium MC1,3868,,,
uid58433,228405,Hyphomonas neptunium ATCC 15444,2871,Marine,Mesophile,Aerobe
uid58087,283942,Idiomarina loihiensis L2TR,2219,"Marine (Hydrothermal vent, Marine)",Psychrophile (Psychrotolerant),Aerobe
uid59769,572544,Ilyobacter polytropus DSM 2926,1593,Marine,Mesophile,Anaerobe
uid61729,710696,Intrasporangium calvum DSM 43043,2827,Other (Air),Mesophile,Aerobe
uid67501,743718,Isoptericola variabilis 225,2326,,,
uid62207,575540,Isosphaera pallida ATCC 43644,3019,"Fresh water (Fresh water, Hot spring)",Mesophile,Aerobe (Obligate aerobe)
uid58147,290400,Jannaschia CCS1,3273,Marine,Mesophile,Aerobe (Obligate aerobe)
uid58603,375286,Janthinobacterium Marseille,2780,Fresh water,Mesophile,
uid59053,471856,Jonesia denitrificans DSM 20603,2066,Host,Mesophile,Facultative
uid59209,523791,Kangiella koreensis DSM 16069,2313,Marine,Mesophile,Facultative
uid59581,880591,Ketogulonicigenium vulgare Y25,2126,Other (Terrestrial),Mesophile,Anaerobe
uid58067,266940,Kineococcus radiotolerans SRS30216,3238,Fresh water,Mesophile,Aerobe
uid77027,452652,Kitasatospora setae KM 6054,4795,,,
uid59145,507522,Klebsiella pneumoniae 342,3845,Host,Mesophile,Facultative
uid57619,272620,Klebsiella pneumoniae MGH 78578,3364,"Multi (Fresh water, Host, Intestinal microflora, Mouth microflora, Skin microflora, Soil)",Mesophile,Facultative
uid59073,484021,Klebsiella pneumoniae NTUH K2044,3566,"Multi (Fresh water, Host, Intestinal microflora, Mouth microflora, Skin microflora, Soil)",Mesophile,Facultative
uid42113,640131,Klebsiella variicola At 22,3538,"Host (Host, Rhizosphere, Rhizosphere-colonizing)",Mesophile,
uid59099,378753,Kocuria rhizophila DC2201,1975,"Multi (Host, Marine)",Mesophile,Aerobe
uid59205,521045,Kosmotoga olearia TBF 19 5 1,1684,Fresh water,Mesophile,
uid43465,479435,Kribbella flavida DSM 17836,4558,Soil,Mesophile,Aerobe (Obligate aerobe)
uid66593,983548,Krokinobacter 4H 3 7 5,2569,,,
uid59071,478801,Kytococcus sedentarius DSM 20547,2076,"Marine (Marine, Skin microflora)",Mesophile,Aerobe (Obligate aerobe)
uid68067,983544,Lacinutrix 5H 3 7 4,2573,Other (Sea water),Psychrophile,Aerobe
uid63605,891391,Lactobacillus acidophilus 30SC,1562,Host,Mesophile,Facultative
uid57685,272621,Lactobacillus acidophilus NCFM,1431,"Host (Host, Intestinal microflora, Oral microflora, Vagina microflora)",Mesophile,Facultative
uid61179,695560,Lactobacillus amylovorus GRL 1112,1580,Host,Mesophile,Facultative
uid57989,387344,Lactobacillus brevis ATCC 367,1735,"Multi (Host, Intestinal microflora, Soil)",Mesophile,Aerobe
uid66205,511437,Lactobacillus buchneri NRRL B 30929,1777,,,
uid57985,321967,Lactobacillus casei ATCC 334,2127,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid59237,543734,Lactobacillus casei BL23,2268,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid50673,498216,Lactobacillus casei Zhang,2202,Host,Mesophile,Facultative
uid48359,748671,Lactobacillus crispatus ST1,1501,"Human (Human vaginal microflora, Host)",Mesophile,Facultative
uid58647,390333,Lactobacillus delbrueckii bulgaricus ATCC 11842,1260,"Host (Intestinal microflora, Host)",Mesophile,Facultative
uid57987,321956,Lactobacillus delbrueckii bulgaricus ATCC BAA 365,1388,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid60621,767455,Lactobacillus delbrueckii bulgaricus ND02,1577,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid58865,334390,Lactobacillus fermentum IFO 3956,1447,"Human (Birds intestinal microflora, Host, Human intestinal microflora, Mammalian intestinal microflora)",Mesophile,Facultative
uid57687,324831,Lactobacillus gasseri ATCC 33323,1395,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid58761,405566,Lactobacillus helveticus DPC 4571,1224,Other (Intestinal microflora),Mesophile,Facultative
uid41735,633699,Lactobacillus johnsonii FI9785,1332,"Human (Host, Human vaginal microflora)",Mesophile,Aerobe (Microaerophilic)
uid58029,257314,Lactobacillus johnsonii NCC 533,1439,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid67985,1033837,Lactobacillus kefiranofaciens ZW3,1494,Host,Mesophile,Facultative
uid59361,644042,Lactobacillus plantarum JDM1,2188,Host,Mesophile,Aerobe (Microaerophilic)
uid53537,889932,Lactobacillus plantarum ST III,2230,Other (Food),Mesophile,Aerobe (Microaerophilic)
uid62911,220668,Lactobacillus plantarum WCFS1,2206,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid58471,557436,Lactobacillus reuteri DSM 20016,1487,,,
uid58875,557433,Lactobacillus reuteri JCM 1112,1435,"Human (Birds intestinal microflora, Host, Human intestinal microflora, Mammalian intestinal microflora)",Mesophile,Facultative
uid55357,491077,Lactobacillus reuteri SD2112,1591,"Human (Birds intestinal microflora, Host, Human intestinal microflora, Mammalian intestinal microflora)",Mesophile,Aerobe (Microaerophilic)
uid59313,568703,Lactobacillus rhamnosus GG,2136,"Host (Host, Intestinal microflora)",Mesophile,Aerobe (Microaerophilic)
uid59315,568704,Lactobacillus rhamnosus Lc 705,2123,"Human (Birds intestinal microflora, Host, Human intestinal microflora, Mammalian intestinal microflora)",Mesophile,Aerobe (Microaerophilic)
uid73417,1069534,Lactobacillus ruminis ATCC 27782,1532,,,
uid58281,314315,Lactobacillus sakei 23K,1547,"Other (Fresh meat, Intestinal microflora, Oral microflora, Vagina microflora)",Mesophile,Facultative
uid58233,362948,Lactobacillus salivarius UCC118,1452,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid72937,714313,Lactobacillus sanfranciscensis TMW 1 1304,1013,,,
uid73413,420889,Lactococcus garvieae ATCC 49156,1579,,,
uid58837,416870,Lactococcus lactis cremoris MG1363,1887,,Mesophile,Facultative
uid57983,272622,Lactococcus lactis cremoris SK11,1840,,Mesophile,Facultative
uid57671,272623,Lactococcus lactis Il1403,1791,Host,Mesophile,Facultative
uid42831,684738,Lactococcus lactis KF147,1949,"Host (Host, Plants)",Mesophile,Facultative
uid59265,557598,Laribacter hongkongensis HLHK9,2590,"Host (Fish, Host)",Mesophile,Anaerobe
uid61575,363253,Lawsonia intracellularis PHE MN1 00,1068,"Host (Host, Intestinal microflora)",Mesophile,Facultative
uid60161,649349,Leadbetterella byssophila DSM 17132,2801,,Mesophile,Aerobe
uid46099,661367,Legionella longbeachae NSW150,2835,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid48801,423212,Legionella pneumophila 2300 99 Alcoy,2646,"Multi (Biofilm, Fresh water, Fresh water, Host, Soil)",Mesophile,Aerobe
uid58733,400673,Legionella pneumophila Corby,2645,"Multi (Biofilm, Fresh water, Fresh water, Host, Soil)",Mesophile,Aerobe
uid58209,297245,Legionella pneumophila Lens,2435,"Multi (Biofilm, Fresh water, Fresh water, Host, Soil)",Mesophile,Aerobe
uid58211,297246,Legionella pneumophila Paris,2522,"Multi (Biofilm, Fresh water, Fresh water, Host, Soil)",Mesophile,Aerobe
uid57609,272624,Legionella pneumophila Philadelphia 1,2447,"Multi (Biofilm, Fresh water, Fresh water, Host, Soil)",Mesophile,Aerobe
uid57759,281090,Leifsonia xyli CTCB07,1689,Host,Mesophile,Aerobe
uid58511,355278,Leptospira biflexa serovar Patoc Patoc 1 Ames,2763,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58993,456481,Leptospira biflexa serovar Patoc Patoc 1 Pari,2866,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58509,355277,Leptospira borgpetersenii serovar Hardjo bovis JB197,2238,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58507,355276,Leptospira borgpetersenii serovar Hardjo bovis L550,2261,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58065,267671,Leptospira interrogans serovar Copenhageni Fiocruz L1 130,2837,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid57881,189518,Leptospira interrogans serovar Lai 56601,2781,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid58971,395495,Leptothrix cholodnii SP 6,3213,"Multi (Fresh water, Soil)",Mesophile,Aerobe
uid59211,523794,Leptotrichia buccalis C 1013 b,1802,"Human (Blood, Human oral microflora, Host)",Mesophile,Anaerobe
uid68743,979982,Leuconostoc C2,1551,,,
uid58481,349519,Leuconostoc citreum KM20,1391,,Psychrophile (Psychrotrophic),Facultative
uid50385,762550,Leuconostoc gasicomitatum LMG 18811,1572,,Psychrophile (Psychrotrophic),Facultative
uid48589,762051,Leuconostoc kimchii IMSNU 11154,1674,,Psychrophile (Psychrotrophic),Facultative
uid57919,203120,Leuconostoc mesenteroides ATCC 8293,1592,,Mesophile,Facultative
uid61567,272626,Listeria innocua Clip11262,2314,Soil,Mesophile,Facultative
uid73473,881621,Listeria ivanovii PAM 55,2088,,,
uid43671,653938,Listeria monocytogenes,2356,"Multi (Fresh water, Food, Soil, Intestinal microflora, Host)",Mesophile,Facultative
uid43727,637381,Listeria monocytogenes 08 5923,2328,"Multi (Food, Fresh water, Intestinal microflora, Soil, Host)",Mesophile,Facultative
uid59317,568819,Listeria monocytogenes Clip80459,2149,,,
uid61583,169963,Listeria monocytogenes EGD e,2217,"Multi (Food, Fresh water, Intestinal microflora, Soil)",Mesophile,Facultative
uid59203,552536,Listeria monocytogenes HCC23,2350,"Multi (Food, Fresh water, Intestinal microflora, Soil, Host)",Mesophile,Facultative
uid57689,265669,Listeria monocytogenes serotype 4b F2365,2219,"Multi (Food, Intestinal microflora, Soil, Host)",Mesophile,Facultative
uid46215,683837,Listeria seeligeri serovar 1 2b SLCC3954,2171,,Mesophile,Facultative
uid61605,386043,Listeria welshimeri serovar 6b SLCC5334,2202,"Multi (Fresh water, Soil, Food)",Mesophile,Facultative
uid58945,444177,Lysinibacillus sphaericus C3 41,3472,"Multi (Host, Mosquito, Soil)",Mesophile,Aerobe
uid59003,458233,Macrococcus caseolyticus JCSC5402,1680,Host,Mesophile,Facultative
uid57833,156889,Magnetococcus MC 1,2573,Marine,Mesophile,Facultative
uid58527,342108,Magnetospirillum magneticum AMB 1,3309,"Multi (Fresh water, Host)",Mesophile,Aerobe
uid66917,697281,Mahella australiensis 50 1 BON,2189,,,
uid58197,221988,Mannheimia succiniciproducens MBEL55E,2027,"Host (Bovine rumen, Host)",Mesophile,Anaerobe
uid58689,394221,Maricaulis maris MCS10,2579,Fresh water,Mesophile,Facultative
uid65783,869210,Marinithermus hydrothermalis DSM 14884,1841,,,
uid59419,351348,Marinobacter aquaeolei VT8,2957,Marine,Mesophile,Facultative
uid64753,717774,Marinomonas mediterranea MMB 1,3203,,,
uid58715,400668,Marinomonas MWYL1,3214,Marine,Mesophile,Aerobe
uid67323,491952,Marinomonas posidonica IVIA Po 181,2712,,,
uid60837,643867,Marivirga tractuosa DSM 4126,3145,,Mesophile,Aerobe (Obligate aerobe)
uid71135,1064535,Megasphaera elsdenii DSM 20460,1803,,,
uid46661,504728,Meiothermus ruber DSM 1279,2424,,Thermophile,Aerobe (Obligate aerobe)
uid49485,526227,Meiothermus silvanus DSM 9946,2415,Other (Hot spring),Thermophile,Aerobe
uid66803,940190,Melissococcus plutonius ATCC 35311,1413,,,
uid58055,265311,Mesoplasma florum L1,608,Host,Mesophile,Facultative
uid62101,765698,Mesorhizobium ciceri biovar biserrulae WSM1271,4046,"Multi (Host, Plant root, Rhizosphere, Root nodule, Soil)",Mesophile,Aerobe
uid57601,266835,Mesorhizobium loti MAFF303099,4520,Host,Mesophile,Aerobe
uid40861,536019,Mesorhizobium opportunistum WSM2075,4384,"Host (Host, Rhizosphere, Root nodule)",Mesophile,Aerobe
uid59161,481448,Methylacidiphilum infernorum V4,2151,Other (Hot spring),Thermophile,Aerobe
uid58085,420662,Methylibium petroleiphilum PM1,2979,"Multi (Fresh water, Fresh water, Sludge)",Mesophile,Facultative
uid58049,265072,Methylobacillus flagellatus KT,2129,Other (Sludge),Mesophile,Aerobe
uid58843,426117,Methylobacterium 4 46,4503,,Mesophile,Aerobe
uid58933,440085,Methylobacterium chloromethanicum CM4,3794,Soil,Mesophile,Aerobe
uid57605,272630,Methylobacterium extorquens AM1,3753,,Mesophile,Aerobe
uid61617,661410,Methylobacterium extorquens DM4,4032,,Mesophile,Aerobe
uid58821,419610,Methylobacterium extorquens PA1,3500,,Mesophile,Facultative
uid59023,460265,Methylobacterium nodulans ORS 2060,4756,"Host (Host, Plant root, Root nodule)",Mesophile,Aerobe
uid58937,441620,Methylobacterium populi BJ001,3947,"Host (Endophyte, Host)",Mesophile,Aerobe
uid58845,426355,Methylobacterium radiotolerans JCM 2831,4094,Host,Mesophile,Aerobe
uid59433,395965,Methylocella silvestris BL2,3044,,Psychrophile (Psychrotolerant),Aerobe
uid57607,243233,Methylococcus capsulatus Bath,2489,,Thermophile,Aerobe
uid77119,271065,Methylomicrobium alcaliphilum,3089,,,
uid67363,857087,Methylomonas methanica MC09,3500,,,
uid49469,666681,Methylotenera 301,2253,,,
uid59373,583345,Methylotenera mobilis JLW8,1962,,Mesophile,Aerobe
uid59367,582744,Methylovorus glucosetrophus SIP3 4,2296,Fresh water,Mesophile,Aerobe
uid60723,887061,Methylovorus MP688,2207,"Soil (Air, Soil, Wastewater)",Mesophile,Facultative
uid73585,856793,Micavibrio aeruginosavorus ARL 13,2138,,,
uid62789,979556,Microbacterium testaceum StLB037,2775,,,
uid59033,465515,Micrococcus luteus NCTC 2665,1845,Soil,Mesophile,Aerobe
uid59101,449447,Microcystis aeruginosa NIES 843,3855,"Multi (Fresh water, Fresh water, Host)",Mesophile,Aerobe
uid68055,1032480,Microlunatus phosphovorus NM 1,3885,Other (Sludge),Mesophile,Aerobe
uid42501,644283,Micromonospora aurantiaca ATCC 27029,4360,Soil,Mesophile,Aerobe
uid45895,648999,Micromonospora L5,4321,Soil,Mesophile,Aerobe
uid49695,548479,Mobiluncus curtisii ATCC 43063,1647,Host,Mesophile,Anaerobe
uid58051,264732,Moorella thermoacetica ATCC 39073,1978,"Fresh water (Fresh water, Ponds)",Thermophile,Anaerobe
uid48809,749219,Moraxella catarrhalis RH4,1722,Host,Mesophile,Aerobe
uid72479,886377,Muricauda ruestringensis DSM 13258,2801,,,
uid61613,561007,Mycobacterium abscessus ATCC 19977,3493,,,
uid68839,572418,Mycobacterium africanum GM041182,2734,Host,Mesophile,Aerobe
uid57693,243243,Mycobacterium avium 104,3305,"Multi (Fresh water, Host, Soil)",Mesophile,Aerobe
uid57699,262316,Mycobacterium avium paratuberculosis K 10,2873,Host,Mesophile,Aerobe
uid57695,233413,Mycobacterium bovis AF2122 97,2767,Host,Mesophile,Aerobe
uid58781,410289,Mycobacterium bovis BCG Pasteur 1173P2,2757,Host,Mesophile,Aerobe
uid59281,561275,Mycobacterium bovis BCG Tokyo 172,2763,Host,Mesophile,Aerobe
uid70731,1048245,Mycobacterium canettii,2718,,,
uid59421,350054,Mycobacterium gilvum PYR GCK,3485,Soil,Mesophile,Aerobe
uid67369,875328,Mycobacterium JDM601,2953,"Human (Host, Human skin)",Mesophile,Aerobe
uid58489,164757,Mycobacterium JLS,3736,"Soil (Soil, Creosote-contaminated soil)",Mesophile,Aerobe
uid58491,189918,Mycobacterium KMS,3659,"Soil (Creosote-contaminated soil, Soil)",Mesophile,Aerobe
uid59293,561304,Mycobacterium leprae Br4923,1393,Host,Mesophile,Aerobe
uid57697,272631,Mycobacterium leprae TN,1394,Host,Mesophile,Aerobe
uid59423,216594,Mycobacterium marinum M,3455,Host,Mesophile,Aerobe
uid58465,164756,Mycobacterium MCS,3634,"Soil (Creosote-contaminated soil, Soil)",Mesophile,Aerobe
uid57701,246196,Mycobacterium smegmatis MC2 155,4267,Host,Mesophile,Aerobe
uid61403,278137,Mycobacterium Spyr1,3489,"Soil (Creosote-contaminated soil, Soil)",Mesophile,Aerobe
uid57775,83331,Mycobacterium tuberculosis CDC1551,3055,Host,Mesophile,Aerobe
uid58417,336982,Mycobacterium tuberculosis F11,2753,Host,Mesophile,Aerobe
uid58853,419947,Mycobacterium tuberculosis H37Ra,2822,Host,Mesophile,Aerobe
uid57777,83332,Mycobacterium tuberculosis H37Rv,2800,Host,Mesophile,Aerobe
uid59069,478434,Mycobacterium tuberculosis KZN 1435,2844,Host,Mesophile,Aerobe
uid62939,362242,Mycobacterium ulcerans Agy99,2800,"Multi (Host, Fresh water)",Mesophile,Aerobe
uid58463,350058,Mycobacterium vanbaalenii PYR 1,3905,Other (Sediment),Mesophile,Aerobe
uid46679,2110,Mycoplasma agalactiae,631,Host,Mesophile,Facultative
uid61619,347257,Mycoplasma agalactiae PG2,606,Host,Mesophile,Facultative
uid58005,243272,Mycoplasma arthritidis 158L3 1,552,Host,Mesophile,Facultative
uid68691,956483,Mycoplasma bovis Hubei 1,629,Host,Mesophile,Facultative
uid60859,289397,Mycoplasma bovis PG45,634,Host,Mesophile,Facultative
uid58525,340047,Mycoplasma capricolum ATCC 27343,652,Host,Mesophile,Facultative
uid59325,572263,Mycoplasma conjunctivae HRC 581,613,,,
uid47087,512564,Mycoplasma crocodyli MP145,631,Host,Mesophile,Facultative
uid53543,637387,Mycoplasma fermentans JER,688,Host,Mesophile,Facultative
uid62099,943945,Mycoplasma fermentans M64,793,Host,Mesophile,Facultative
uid57993,710127,Mycoplasma gallisepticum R low,613,,,
uid57707,243273,Mycoplasma genitalium G37,443,"Host (Host, Urogenital tract)",Mesophile,Facultative
uid62461,941640,Mycoplasma haemofelis Langford 1,507,Host,Mesophile,Facultative
uid41875,347256,Mycoplasma hominis ATCC 23114,483,,,
uid58205,295358,Mycoplasma hyopneumoniae 232,574,Host,Mesophile,Facultative
uid58039,262722,Mycoplasma hyopneumoniae 7448,553,Host,Mesophile,Facultative
uid58059,262719,Mycoplasma hyopneumoniae J,540,Host,Mesophile,Facultative
uid51695,872331,Mycoplasma hyorhinis HUB 1,548,Host,Mesophile,Facultative
uid60849,880447,Mycoplasma leachii PG50,675,Host,Mesophile,Facultative
uid58077,267748,Mycoplasma mobile 163K,572,Host,Mesophile,Facultative
uid66189,862259,Mycoplasma mycoides capri LC 95010,694,Host,Mesophile,Anaerobe
uid58031,272632,Mycoplasma mycoides SC PG1,667,Host,Mesophile,Facultative
uid57729,272633,Mycoplasma penetrans HF 2,785,Host,Mesophile,Facultative
uid57709,272634,Mycoplasma pneumoniae M129,517,Host,Mesophile,Facultative
uid61569,272635,Mycoplasma pulmonis UAB CTIP,670,Host,Mesophile,Facultative
uid72481,743965,Mycoplasma putrefaciens KS1,576,,,
uid61897,768700,Mycoplasma suis Illinois,515,Host,Mesophile,Facultative
uid63665,708248,Mycoplasma suis KI3806,517,,,
uid58061,262723,Mycoplasma synoviae 53,530,Host,Mesophile,Facultative
uid68443,483219,Myxococcus fulvus HW 1,5220,Marine,Mesophile,Aerobe
uid58003,246197,Myxococcus xanthus DK 1622,5351,"Soil (Soil, Terrestrial)",Mesophile,Aerobe (Obligate aerobe)
uid59221,479431,Nakamurella multipartita DSM 44233,3751,Other (Sludge),Mesophile,Aerobe
uid59001,457570,Natranaerobius thermophilus JW NM WN LF,2233,Fresh water,Thermophile,Anaerobe (Obligate anaerobe)
uid59345,598659,Nautilia profundicola AmH,1532,"Multi (Fresh water, Hydrothermal vent, Host)",Thermophile,Anaerobe (Obligate anaerobe)
uid57611,242231,Neisseria gonorrhoeae FA 1090,1716,Host,Mesophile,Aerobe
uid59191,521006,Neisseria gonorrhoeae NCCP11945,2142,Host,Mesophile,Aerobe
uid60851,489653,Neisseria lactamica 020 06,1727,"Human (Host, Human nasopharyngeal microflora)",Mesophile,Aerobe
uid58587,374833,Neisseria meningitidis 053442,1690,Host,Mesophile,Aerobe
uid61649,662598,Neisseria meningitidis alpha14,1655,Host,Mesophile,Aerobe
uid57825,272831,Neisseria meningitidis FAM18,1637,Host,Mesophile,Aerobe
uid57817,122586,Neisseria meningitidis MC58,1740,"Host (Host, Nasopharyngeal microflora)",Mesophile,Aerobe
uid57819,122587,Neisseria meningitidis Z2491,1635,"Host (Host, Nasopharyngeal microflora)",Mesophile,Aerobe
uid58889,434131,Neorickettsia risticii Illinois,830,Host,Mesophile,Aerobe
